key,venue,coin,symbol,code,expiry,rows,first_date,last_date,frozen_rows_dropped,post_expiry_rows_seen,first_basis,median_ann_basis,pct_contango,terminal_basis,is_expired
coinm:XRP_260327,coinm,XRP,XRPUSD_260327,260327,2026-03-27,183,2025-09-26,2026-03-27,0,0,0.03150709538350993,0.02449190364175719,0.7670454545454546,0.02104548540393747,True
coinm:XRP_260626,coinm,XRP,XRPUSD_260626,260626,2026-06-26,175,2025-12-26,2026-06-18,0,0,0.018441178065845776,0.007057699107221974,0.7771428571428571,-0.0012242042672261366,False
coinm:XRP_260925,coinm,XRP,XRPUSD_260925,260925,2026-09-25,84,2026-03-27,2026-06-18,0,0,0.019914007694048497,0.0051449646802411795,0.8214285714285714,0.001836306400839538,False
usdtm:BTC_250328,usdtm,BTC,BTCUSDT_250328,250328,2025-03-28,183,2024-09-27,2025-03-28,0,0,0.04547745588980989,0.10672694526747573,1.0,0.009187156600972246,True
usdtm:BTC_250627,usdtm,BTC,BTCUSDT_250627,250627,2025-06-27,183,2024-12-27,2025-06-27,0,0,0.06233012152935191,0.05986841452101988,1.0,3.3723318759504295e-05,True
usdtm:BTC_250926,usdtm,BTC,BTCUSDT_250926,250926,2025-09-26,183,2025-03-28,2025-09-26,0,0,0.02868034091574012,0.06190476739260142,1.0,-0.005859537814658533,True
usdtm:BTC_251226,usdtm,BTC,BTCUSDT_251226,251226,2025-12-26,183,2025-06-27,2025-12-26,14,14,0.02912172053569817,0.06633145766436563,1.0,0.015468087512401363,True
usdtm:BTC_260327,usdtm,BTC,BTCUSDT_260327,260327,2026-03-27,183,2025-09-26,2026-03-27,14,14,0.03680876178114034,0.044746699185373995,0.9943181818181818,0.0429579407558931,True
usdtm:BTC_260626,usdtm,BTC,BTCUSDT_260626,260626,2026-06-26,175,2025-12-26,2026-06-18,0,0,0.023602499543319277,0.02464032551830451,1.0,0.0004953405434320324,False
usdtm:BTC_260925,usdtm,BTC,BTCUSDT_260925,260925,2026-09-25,84,2026-03-27,2026-06-18,0,0,0.014738143167435824,0.022908805897526436,1.0,0.008405788590443386,False
usdtm:ETH_250328,usdtm,ETH,ETHUSDT_250328,250328,2025-03-28,183,2024-09-27,2025-03-28,0,0,0.040665372639111075,0.10033652569800744,1.0,0.007628235542200379,True
usdtm:ETH_250627,usdtm,ETH,ETHUSDT_250627,250627,2025-06-27,183,2024-12-27,2025-06-27,0,0,0.06186872095778906,0.05615625181330881,1.0,0.0077708126132296496,True
usdtm:ETH_250926,usdtm,ETH,ETHUSDT_250926,250926,2025-09-26,183,2025-03-28,2025-09-26,0,0,0.025035584374505815,0.05427785199512351,1.0,-0.028579648036823113,True
usdtm:ETH_251226,usdtm,ETH,ETHUSDT_251226,251226,2025-12-26,183,2025-06-27,2025-12-26,14,14,0.02635390831018869,0.06008598532285264,1.0,0.012981601713120572,True
usdtm:ETH_260327,usdtm,ETH,ETHUSDT_260327,260327,2026-03-27,183,2025-09-26,2026-03-27,14,14,0.029869253814257313,0.035000753008131866,1.0,0.03775686864885208,True
usdtm:ETH_260626,usdtm,ETH,ETHUSDT_260626,260626,2026-06-26,175,2025-12-26,2026-06-18,0,0,0.019743919890437,0.02156800896236265,1.0,0.001346030691871558,False
usdtm:ETH_260925,usdtm,ETH,ETHUSDT_260925,260925,2026-09-25,84,2026-03-27,2026-06-18,0,0,0.014276753230460404,0.020819120938050984,1.0,0.004933469319987616,False
